Nom_Station;Adresse;Type;Directeur.rice;RedChef;RedChefAdj;RespProg;RespTech;Latitude;Longitude;Territoire
ici Alsace;4, rue Joseph Massol - 67000 STRASBOURG;ICI;Céline;Maud CZAJA;Magali FICHTER;Lionel;Frédéric;48.5852144;7.7553121;Nord-Est
ici Armorique;14, av Jean Janvier - 35000 Rennes;ICI;Sophie;Céline GUETAZ;Loick GUELLEC;Gael;Laurent;48.1060394;-1.6733036;Nord-Ouest
ici Auxerre;12, place Saint Amâtre 89002 AUXERRE;ICI;Valérie;Delphine MARTIN #REF!;Leni Flouvat (intérim);Eric;Maud;47.78975000000001;3.5649901;Centre-Est
ici Azur;2, place Grimaldi 06012 Nice;ICI;;Caroline SAGLIONE (intérim);Violaine ILL;Julien;;43.69774109999999;7.265099699999999;Sud-Med
ici Béarn-Bigorre;5, place Clémenceau - 64 000 Pau;ICI;Franck;Daniel CORSAND;Yannick DAMONT;Eric;Jérémy;43.2952502;-0.3692082;Centre-Sud-Ouest
ici Belfort-Montbéliard;10, rue des capucins 90000 Belfort;ICI;Stéphane;Nicolas WILHELM;Nicolas JOLY;Vincent;Emmanuel;47.6360165;6.8557977;Nord-Est
ici Berry;10, rue de la république - 36 000 Chateauroux;ICI;Christian;Carl DECHATRE;Gaëlle FONTENIT;Rodolphe;Olivier;46.8102086;1.6904362;Centre
ici Besançon;2, place Granvelle 25027 BESANCON;ICI;Bruno;Marie-Coralie FOURNIER;Cédric LIETO;Thomas 0;Sarah;47.2354733;6.026932;Centre-Est
ici Bourgogne;29, rue Guillaume Telle - 21000 Dijon;ICI;Laurent;Anne OGER-CANIER;Arnaud RACAPE;Raffaelo MARSEGLIA;David;47.32534589999999;5.0292186;Centre-Est
ici Breizh Izel;155 boulevard de Creac’h Gwenn, 29000 Quimper;ICI;Gurvan;Baptiste SCHWEITZER;Typhaine MORIN;Chrystelle;Yann;47.9720721;-4.0960387;Nord-Ouest
ici Champagne-Ardenne;28, Bd M. Joffre 51054 REIMS;ICI;Tony;Sylvie BASSAL;Soline DEMESTRE;Gilles;Fabien;49.258329;4.031696;Nord-Est
ici Cotentin*;Rue Alexandre Piedagnel, 50100 Cherbourg-en-Cotentin;ICI;Jérôme;Juliette LEMEUNIER;Benoit MARTIN;Stéphanie;Paul;49.64206424528277; -1.612396532592541;Nord-Ouest
ici Creuse;7 av de la république 23000 Guéret;ICI;Franky;Sophie PERETTI;Valérie MENUT;Xavier;Valentin;46.1698064;1.8720911;Centre
ici Drôme Ardèche;Pôle Latour Maubourg-70 av. de Romans - 26000 VALENCE;ICI;Florence;Damien TRIOMPHE (intérim);;Vincent;Stéphane;44.9327373;4.9027296;Centre-Est
ici Gard Lozère;10, boulevard des arènes - 30020 Nimes;ICI;Marie-Audrey;Tony SELLIEZ;Hervé SALLAFRANQUE;Félicien;Laurie;43.834352;4.3585603;Sud-Med
ici Gascogne;13, place Jean Jaurès 40 005 Mont-de-Marsan;ICI;Grégoire;Eric BALLANGER;Renaud BIONDY-MAUGEY;Sabine;Olivier;43.88740019999999;-0.5005537;Centre-Sud-Ouest
ici Gironde;91, rue Nuyens - 33100 Bordeaux;ICI;Jean-Marc;Yves MAUGUE;Stéphanie BROSSARD;Anthony;Christophe;44.8430547;-0.5594998;Centre-Sud-Ouest
