Nom_Station,Adresse,Type,Directeur.rice,RedChef,RedChefAdj,RespProg,RespTech,Latitude,Longitude,Territoire,google_lat,google_lon,google_status
ici Alsace,"4, rue Joseph Massol - 67000 STRASBOURG",ICI,Céline,Maud CZAJA,Magali FICHTER,Lionel,Frédéric,48.58561,7.75522,Nord-Est,48.5852144,7.7553121,OK
ici Armorique,"14, av Jean Janvier - 35000 Rennes",ICI,Sophie,Céline GUETAZ,Loick GUELLEC,Gael,Laurent,48.10641,-1.67351,Nord-Ouest,48.1060394,-1.6733036,OK
ici Auxerre,"12, place Saint Amâtre 89002 AUXERRE",ICI,Valérie,Delphine MARTIN #REF!,Leni Flouvat (intérim),Eric,Maud,47.7897348,3.5650583,Centre-Est,47.78975000000001,3.5649901,OK
ici Azur,"2, place Grimaldi 06012 Nice",ICI,,Caroline SAGLIONE (intérim),Violaine ILL,Julien,,43.6977461,7.2651668,Sud-Med,43.69774109999999,7.265099699999999,OK
ici Béarn-Bigorre,"5, place Clémenceau - 64 000 Pau",ICI,Franck,Daniel CORSAND,Yannick DAMONT,Eric,Jérémy,43.2951755,-0.3690781,Centre-Sud-Ouest,43.2952502,-0.3692082,OK
ici Belfort-Montbéliard,"10, rue des capucins 90000 Belfort",ICI,Stéphane,Nicolas WILHELM,Nicolas JOLY,Vincent,Emmanuel,47.6358878,6.8557737,Nord-Est,47.6360165,6.8557977,OK
ici Berry,"10, rue de la république - 36 000 Chateauroux",ICI,Christian,Carl DECHATRE,Gaëlle FONTENIT,Rodolphe,Olivier,46.810183,1.690463,Centre,46.8102086,1.6904362,OK
ici Besançon,"2, place Granvelle 25027 BESANCON",ICI,Bruno,Marie-Coralie FOURNIER,Cédric LIETO,Thomas 0,Sarah,47.2354849,6.0269274,Centre-Est,47.2354733,6.026932,OK
ici Bourgogne,"29, rue Guillaume Telle - 21000 Dijon",ICI,Laurent,Anne OGER-CANIER,Arnaud RACAPE,Raffaelo MARSEGLIA,David,47.3215806,5.0414701,Centre-Est,47.32534589999999,5.0292186,OK
ici Breizh Izel,"155 boulevard de Creac’h Gwenn, 29000 Quimper",ICI,Gurvan,Baptiste SCHWEITZER,Typhaine MORIN,Chrystelle,Yann,47.9773645,-4.1017427,Nord-Ouest,47.9720721,-4.0960387,OK
ici Champagne-Ardenne,"28, Bd M. Joffre 51054 REIMS",ICI,Tony,Sylvie BASSAL,Soline DEMESTRE,Gilles,Fabien,49.2577886,4.031926,Nord-Est,49.258329,4.031696,OK
ici Cotentin*,Hôtel Atlantique - Impasse Piedagniel - 50100 CHERBOURG,ICI,Jérôme,Juliette LEMEUNIER,Benoit MARTIN,Stéphanie,Paul,49.5127198,-1.5755441,Nord-Ouest,49.642459,-1.611142,OK
ici Creuse,7 av de la république 23000 Guéret,ICI,Franky,Sophie PERETTI,Valérie MENUT,Xavier,Valentin,46.2390571,1.4947908,Centre,46.1698064,1.8720911,OK
